Number of wires,Number of wire bits,Number of public wires,Number of public wire bits,Number of memories,Number of memory bits,Number of processes,Number of cells,Logic Depth
3.5323598,3.2998486,3.5084481,3.6101701,-0.010354636,0.010945459,0.0004987307,0.9527545,0.9525577
2.9886675,3.3043976,2.9692905,2.9637725,-0.005278023,-0.011960125,-0.0035822801,1.0268362,1.0422992
2.9685965,3.2557058,2.9615781,2.9935062,-0.011395467,-0.022353658,-0.000845097,1.0151596,1.0789167
3.048325,3.0831118,3.02713,3.1246917,-0.0056536114,-0.011743767,-0.014561968,0.9996124,1.0496892
3.047755,3.3737717,3.0118237,3.18623,-0.00086016394,-0.010901449,-0.009727394,1.0349092,1.1116029
3.1013865,3.2202864,3.086398,3.2052066,0.013141727,0.0023794025,-0.005137522,1.0269855,1.103989
3.0010006,3.2398577,3.0026124,2.9011624,-0.010727935,-0.0029147882,0.0044254027,0.9862716,0.9982647
2.932483,2.9410324,2.9581141,2.86227,-0.0016451352,-0.015711749,-0.00294948,0.9741084,0.9874002
4.3491225,2.731495,4.2831793,4.352257,-0.05617655,0.03401778,-0.012726307,0.8835082,0.75354135
3.3144574,3.2006617,3.3170786,3.2841203,-0.008999483,0.0033522937,0.00067277625,0.9409645,0.9404334
2.9506347,3.049039,2.965186,2.7855937,-0.004826991,-0.009913648,0.0051018335,0.97586715,1.0027143
3.062821,3.758503,3.0132596,3.2109578,-0.007056595,-0.014316628,0.0009770729,1.0424478,1.0953137
2.972176,2.7908077,2.9740496,2.9455197,0.0026999086,-0.005315583,-0.0018161274,0.9650283,1.0519325
3.0569272,3.1537132,3.065385,3.0654848,0.010725303,0.008161693,-0.0029295944,0.9973406,1.032957
2.9426882,2.996542,2.9379885,2.906647,-0.011706805,-0.018184377,-0.004986059,1.0157716,1.0564743
3.1247773,3.130456,3.1008062,3.239288,0.006787153,0.006227378,-0.006321866,1.0203006,1.0710553
2.99413,3.4304838,2.9922209,3.023967,-0.003942753,-0.01211044,-0.004649356,1.0232506,1.0826353
3.027226,3.3802805,2.9942462,3.05643,-0.0053168917,-0.024160808,-0.00014876947,1.0182922,1.0725831
3.4371984,3.2363443,3.379754,3.6020339,-0.0023142006,-2.6535243e-05,-0.011203658,0.9643013,1.0292026
2.997138,3.0021105,3.0094028,2.9754965,0.0048468094,-0.011346238,0.0031919554,0.9795814,0.9761535
2.9628353,3.416829,2.9726462,2.8823826,-0.005368069,-0.012394765,0.00039068982,0.9910596,1.0209011
2.9090288,2.425148,2.9572585,2.5615404,-0.0014361409,0.0039962213,-0.008611973,0.92209715,0.8454548
3.5481832,3.3149424,3.5222714,3.451708,-0.008941835,0.009287917,0.014990367,0.9150319,0.9490925
3.0028343,3.1492767,3.0167234,2.9402945,-0.010368694,-0.0001521837,-0.0045598596,0.9740606,0.9813987
3.0482948,3.2546864,3.0394623,3.0824063,0.0029892614,0.0045426246,-0.0020287782,1.011095,1.0424169
2.9985201,3.1797123,3.0283692,3.0948522,0.0065326174,0.014090235,-0.0016982108,0.9717619,1.0223836
2.9226146,3.001957,2.945321,2.725467,-0.0077128075,-0.008838359,-0.0056848265,0.98639977,0.9797524
3.0211678,3.2197208,3.0194273,2.9942725,-0.009497916,0.003083771,0.0077823885,1.0109355,1.0452787
3.0151086,3.1450453,2.9845006,2.9564154,-0.021814045,-0.013766548,0.0045497157,1.0071697,1.0062932
3.0273309,2.9943552,3.004972,2.9875863,-0.010119252,0.007685097,-0.00027200207,1.0061941,0.99794304
3.030391,3.4561834,3.0032318,3.0612648,-0.0066267624,-0.0056928843,0.0010803305,1.0206429,1.0758721
3.6536884,3.4780378,3.6261795,3.580356,-0.014898192,0.0039276984,0.01615401,0.9170602,0.90947354
2.961331,3.1381922,2.9903083,2.9594033,0.0036031916,-0.011746826,0.0059136488,1.0086768,1.0551356
3.8629413,3.5144644,3.8146772,3.8100948,-0.013460109,0.0053071883,0.02203428,0.8794662,0.8836626
3.430151,3.985405,3.3502035,3.5543888,-0.005078028,-0.0052965283,-0.00824073,1.031709,1.0535363
4.2471027,3.6188374,4.2240534,4.6057463,-0.0263133,0.0059109554,-0.00794065,0.96199656,0.94981253
3.3901532,3.7965794,3.3613539,3.2879179,-0.004340945,-0.0017960556,-0.01446059,0.9991221,0.982576
